year,month,state,totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,Real GDP,GDP per capita,Urban
2021,6,Tennessee,109743,6944260,15.80341174,0,1,0,338463.45,48740,66.4
2021,6,Texas,147120,29730311,4.948485066,0,1,0,1806783.6,60772,84.7
2021,6,Utah,96829,3310774,29.24663538,0,1,0,177030.8,53471,90.6
2021,6,Vermont,3301,623251,5.296421506,1,1,0,29606.95,47504,38.9
2021,6,Virginia,47216,8603985,5.487689716,1,1,0,488405.65,56765,75.5
2021,6,Washington,53104,7796941,6.810876214,1,1,0,560688.95,71911,84.1
2021,6,West Virginia,13096,1767859,7.407830602,0,1,0,71983.5,40718,48.7
2021,6,Wisconsin,59860,5852490,10.22812512,1,1,0,301100.45,51448,70.2
2021,6,Wyoming,5963,581075,10.26201437,0,1,0,36911.6,63523,64.8
2021,5,Alabama,66937,4934193,13.56594685,0,1,0,202949.95,41131,59
2021,5,Alaska,7145,724357,9.863920691,0,1,0,50138.25,69218,66
2021,5,Arizona,56581,7520103,7.523966095,1,1,0,329102.8,43763,89.8
2021,5,Arkansas,24206,3033946,7.978388541,0,1,0,120292.75,39649,56.2
2021,5,California,119739,39613493,3.022682196,1,1,1,2805217.85,70815,95
2021,5,Colorado,50079,5893634,8.497134366,1,1,0,361588.85,61352,86.2
2021,5,Connecticut,31313,3552821,8.813559704,1,1,0,244053,68693,88
2021,5,Delaware,5308,990334,5.359807903,1,1,0,63333.25,63951,83.3
2021,5,District of Columbia,768,714153,1.075399809,1,1,0,124934.95,174941,100
2021,5,Florida,133237,21944577,6.071522819,0,1,0,986239.5,44942,91.2
2021,5,Georgia,61003,10830007,5.632775676,1,1,0,559703.8,51681,75.1
2021,5,Hawaii,1169,1406430,0.831182498,1,1,0,73506.55,52265,91.9
2021,5,Idaho,18674,1860123,10.03912107,0,1,0,76433.4,41091,70.6
2021,5,Illinois,998326,12569321,79.42561098,1,1,0,774004.05,61579,88.5
2021,5,Indiana,165454,6805663,24.31122434,0,1,0,349137.95,51301,72.4
2021,5,Iowa,16280,3167974,5.138931064,0,1,0,180862.9,57091,64
2021,5,Kansas,15534,2917224,5.32492534,0,1,0,163607.85,56083,74.2
2021,5,Kentucky,158983,4480713,35.48162982,0,1,0,194512.6,43411,58.4
2021,5,Louisiana,29406,4627002,6.355303067,0,1,0,227710.1,49213,73.2
2021,5,Maine,8326,1354522,6.146817844,1,1,0,60665.6,44787,38.7
2021,5,Maryland,20904,6065436,3.446413415,1,1,0,369172.5,60865,87.2
2021,5,Massachusetts,19639,6912239,2.841192268,1,1,0,519324.4,75131,92
2021,5,Michigan,71704,9992427,7.175834259,1,1,0,465141.5,46549,74.6
