Year,state,Totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,MSpM,Real GDP,GDP per capita,Urban
2018,Iowa,189159,3148618,60.08,0,0,0,0,172929.4,54922,64
2018,Kansas,172047,2911359,59.1,0,0,0,0,158906.3,54581,74.2
2018,Kentucky,4912441,4461153,1101.16,0,0,0,0,188083.6,42160,58.4
2018,Louisiana,307192,4659690,65.93,0,0,0,0,236265.6,50704,73.2
2018,Maine,93360,1339057,69.72,1,0,0,0,58178.8,43448,38.7
2018,Maryland,151470,6035802,25.1,1,0,1,0.165678066,368643.9,61076,87.2
2018,Massachusetts,211295,6882635,30.7,1,0,0,0,502954.3,73076,92
2018,Michigan,489957,9984072,49.07,0,0,1,0.100159534,467830.4,46858,74.6
2018,Minnesota,604078,5606249,107.75,1,0,0,0,338524.5,60383,73.3
2018,Mississippi,247278,2981020,82.95,0,0,0,0,101131.5,33925,49.4
2018,Missouri,496184,6121623,81.05,0,0,0,0,285995.1,46719,70.4
2018,Montana,117607,1060665,110.88,0,0,0,0,46614.1,43948,55.9
2018,Nebraska,74477,1925614,38.68,0,0,0,0,116904.4,60710,73.1
2018,Nevada,127434,3027341,42.09,1,0,0,0,150711.6,49783,94.2
2018,New Hampshire,120889,1353465,89.32,1,0,0,0,75534.6,55808,60.3
2018,New Jersey,93124,8886025,10.48,1,0,0,0,550064.5,61902,94.7
2018,New Mexico,156853,2092741,74.95,1,0,0,0,90999.4,43483,77.4
2018,New York,358614,19530351,18.36,1,0,0,0,1457995.8,74653,87.9
2018,North Carolina,529916,10381615,51.04,0,0,0,0,504049.5,48552,66.1
2018,North Dakota,62334,758080,82.23,0,0,0,0,55884,73718,59.9
2018,Ohio,717475,11676341,61.45,0,0,0,0,598917.1,51293,77.9
2018,Oklahoma,332291,3940235,84.33,0,0,0,0,197358.3,50088,66.2
2018,Oregon,359682,4181886,86.01,1,0,0,0,215208.8,51462,81
2018,Pennsylvania,1021943,12800922,79.83,0,0,1,0.078119373,703946,54992,78.7
2018,Rhode Island,25030,1058287,23.65,1,0,0,0,52493.8,49603,90.7
2018,South Carolina,280749,5084156,55.22,0,0,0,0,207772.7,40867,66.3
2018,South Dakota,90693,878698,103.21,0,0,0,0,46454.1,52867,56.7
2018,Tennessee,694101,6771631,102.5,0,0,1,0.14767491,322648.5,47647,66.4
2018,Texas,1571632,28628666,54.9,0,0,1,0.034930024,1729286.6,60404,84.7
2018,Utah,295858,3153550,93.82,0,0,0,0,163327,51791,90.6
2018,Vermont,41550,624358,66.55,1,0,0,0,29616.4,47435,38.9
2018,Virginia,476760,8501286,56.08,1,0,0,0,477819.8,56206,75.5
2018,Washington,627301,7523869,83.37,1,0,0,0,515629.9,68533,84.1
2018,West Virginia,241678,1804291,133.95,0,0,0,0,73114.2,40522,48.7
2018,Wisconsin,452520,5807406,77.92,0,0,0,0,299416,51558,70.2
2018,Wyoming,60150,577601,104.14,0,0,0,0,37987.9,65768,64.8
2017,Alabama,477345,4874486,97.93,0,0,0,0,197566.6,40531,59
2017,Alaska,80839,739700,109.29,0,0,0,0,54129.5,73178,66
2017,Arizona,384930,7044008,54.65,0,0,0,0,302455.4,42938,89.8
2017,Arkansas,237629,3001345,79.17,0,0,0,0,113885.2,37945,56.2
2017,California,1570110,39358497,39.89,1,0,1,0.025407474,2541769.3,64580,95
2017,Colorado,496995,5611885,88.56,1,0,0,0,329960.6,58797,86.2
2017,Connecticut,181779,3573297,50.87,1,0,0,0,247358.5,69224,88
2017,Delaware,50639,956823,52.92,1,0,0,0,60801.2,63545,83.3
2017,District of Columbia,1540,694906,2.22,1,0,0,0,120898.9,173979,100
2017,Florida,1276549,20963613,60.89,0,0,2,0.095403402,912966.2,43550,91.2
2017,Georgia,541655,10410330,52.03,0,0,0,0,524874.7,50419,75.1
2017,Hawaii,12742,1424393,8.95,1,0,0,0,78941.6,55421,91.9
2017,Idaho,182099,1717715,106.01,0,0,0,0,66980.5,38994,70.6
2017,Illinois,1601087,12778828,125.29,1,0,0,0,755594.7,59129,88.5
2017,Indiana,830357,6658078,124.71,0,0,0,0,325841.7,48939,72.4
2017,Iowa,160981,3141550,51.24,0,0,0,0,170182.7,54172,64
2017,Kansas,191451,2908718,65.82,0,0,0,0,155407.9,53428,74.2
2017,Kentucky,4641480,4452268,1042.5,0,0,0,0,185866.5,41746,58.4
2017,Louisiana,329201,4670560,70.48,0,0,0,0,233774.4,50053,73.2
2017,Maine,96590,1334612,72.37,1,0,0,0,56662.6,42456,38.7
2017,Maryland,158659,6023868,26.34,1,0,0,0,366680.5,60871,87.2
2017,Massachusetts,206492,6859789,30.1,1,0,0,0,484413.8,70616,92
2017,Michigan,513243,9973114,51.46,0,0,0,0,457764.9,45900,74.6
2017,Minnesota,683544,5566230,122.8,1,0,0,0,328696.1,59052,73.3
2017,Mississippi,251852,2988510,84.27,0,0,1,0.334614908,101642.1,34011,49.4
2017,Missouri,524973,6106670,85.97,0,0,0,0,282174.2,46208,70.4
2017,Montana,123938,1052482,117.76,0,0,0,0,45910.5,43621,55.9
2017,Nebraska,74318,1915947,38.79,0,0,0,0,114480.9,59752,73.1
2017,Nevada,129622,2969905,43.65,1,0,1,0.336711107,145699.9,49059,94.2
2017,New Hampshire,129090,1348787,95.71,1,0,0,0,74107.3,54944,60.3
2017,New Jersey,103739,8885525,11.68,1,0,0,0,537045.1,60440,94.7
2017,New Mexico,159779,2091784,76.38,1,0,0,0,89032,42563,77.4
2017,New York,382495,19589572,19.53,1,0,0,0,1419583.6,72466,87.9
2017,North Carolina,537813,10268233,52.38,0,0,0,0,496726.5,48375,66.1
2017,North Dakota,66977,754942,88.72,0,0,0,0,54083.1,71639,59.9
2017,Ohio,753072,11659650,64.59,0,0,0,0,590738.9,50665,77.9
2017,Oklahoma,334351,3931316,85.05,0,0,0,0,194256,49412,66.2
2017,Oregon,341167,4143625,82.34,1,0,0,0,205744.8,49653,81
2017,Pennsylvania,1062651,12787641,83.1,0,0,0,0,694236.5,54290,78.7
2017,Rhode Island,24677,1055673,23.38,1,0,0,0,52608.8,49834,90.7
2017,South Carolina,396920,5021268,79.05,0,0,0,0,202494.3,40327,66.3
2017,South Dakota,98573,872868,112.93,0,0,0,0,45878.2,52560,56.7
2017,Tennessee,767953,6708799,114.47,0,0,0,0,318412,47462,66.4
2017,Texas,1549434,28295273,54.76,0,0,1,0.035341592,1664218.5,58816,84.7
2017,Utah,270477,3101042,87.22,0,0,0,0,154367.3,49779,90.6
2017,Vermont,37610,624344,60.24,1,0,0,0,29500.9,47251,38.9
2017,Virginia,520827,8463587,61.54,1,0,0,0,466724.8,55145,75.5
2017,Washington,579678,7423362,78.09,1,0,0,0,482824.1,65041,84.1
2017,West Virginia,222768,1817004,122.6,0,0,0,0,71459.4,39328,48.7
2017,Wisconsin,526523,5790186,90.93,0,0,1,0.172706024,292311.2,50484,70.2
2017,Wyoming,54711,578931,94.5,0,0,0,0,37429.1,64652,64.8
2016,Alabama,616947,4863525,126.85,0,1,6,1.233673107,194283.8,39947,59
2016,Alaska,87647,741456,118.21,0,1,0,0,54246.6,73162,66
2016,Arizona,416279,6941072,59.97,0,1,4,0.57627986,291275.2,41964,89.8
2016,Arkansas,266014,2989918,88.97,0,1,0,0,112798.1,37726,56.2
2016,California,2377167,39167117,60.69,1,1,7,0.178721349,2427894.6,61988,95
2016,Colorado,540514,5539215,97.58,1,1,0,0,318953.4,57581,86.2
2016,Connecticut,317692,3578141,88.79,1,1,0,0,243286.7,67992,88
2016,Delaware,59430,948921,62.63,1,1,1,1.053828506,63001.3,66393,83.3
2016,District of Columbia,875,685815,1.28,1,1,0,0,119644.3,174456,100
2016,Florida,1435340,20613477,69.63,0,1,12,0.58214342,881539.2,42765,91.2
2016,Georgia,612985,10301890,59.5,0,1,6,0.582417401,506816.2,49196,75.1
2016,Hawaii,16681,1427559,11.68,1,1,0,0,77303.9,54151,91.9
2016,Idaho,156343,1682380,92.93,0,1,0,0,65479,38920,70.6
2016,Illinois,1924070,12820527,150.08,1,1,4,0.311999655,749333.5,58448,88.5
2016,Indiana,1436725,6634304,216.56,0,1,1,0.150731712,319601.5,48174,72.4
2016,Iowa,202277,3131371,64.6,0,1,0,0,170389.1,54414,64
2016,Kansas,196548,2910844,67.52,0,1,4,1.37417189,153695.3,52801,74.2
2016,Kentucky,3676847,4438182,828.46,0,1,2,0.450634967,184115,41484,58.4
2016,Louisiana,391869,4678135,83.77,0,1,3,0.641281194,228428.5,48829,73.2
2016,Maine,111582,1331317,83.81,1,1,0,0,55565.4,41737,38.7
2016,Maryland,165367,6003323,27.55,1,1,3,0.499723237,360082,59980,87.2
2016,Massachusetts,226212,6823608,33.15,1,1,2,0.293100073,475349,69662,92
2016,Michigan,579605,9950571,58.25,0,1,6,0.602980472,452325.2,45457,74.6
2016,Minnesota,651599,5522744,117.98,1,1,1,0.18106941,324030.3,58672,73.3
2016,Mississippi,276161,2987938,92.43,0,1,1,0.334678966,101255.3,33888,49.4
2016,Missouri,632319,6087135,103.88,0,1,2,0.328561795,279109.2,45852,70.4
2016,Montana,136337,1040859,130.99,0,1,0,0,44436.8,42692,55.9
2016,Nebraska,88663,1905616,46.53,0,1,0,0,112611.5,59095,73.1
2016,Nevada,147992,2917563,50.72,1,1,1,0.34275181,140081.2,48013,94.2
2016,New Hampshire,165164,1342307,123.04,1,1,0,0,73572.2,54810,60.3
2016,New Jersey,121853,8870827,13.74,1,1,1,0.112729061,535055.3,60316,94.7
2016,New Mexico,161216,2091630,77.08,1,1,2,0.956192061,89151.4,42623,77.4
2016,New York,404772,19633428,20.62,1,1,2,0.101867081,1403230.5,71471,87.9
2016,North Carolina,601445,10154788,59.23,0,1,1,0.098475714,482968.9,47561,66.1
2016,North Dakota,72036,754434,95.48,0,1,0,0,52974.6,70218,59.9
2016,Ohio,875724,11634370,75.27,0,1,0,0,583946.4,50191,77.9
2016,Oklahoma,364590,3926331,92.86,0,1,0,0,193025.1,49162,66.2
2016,Oregon,324708,4089976,79.39,1,1,0,0,198079.3,48430,81
2016,Pennsylvania,1143220,12782275,89.44,0,1,2,0.15646667,688359.4,53853,78.7
2016,Rhode Island,27758,1056770,26.27,1,1,0,0,52902.6,50061,90.7
2016,South Carolina,402978,4957968,81.28,0,1,2,0.403391067,198005.7,39937,66.3
2016,South Dakota,111921,862996,129.69,0,1,0,0,46076,53391,56.7
2016,Tennessee,714774,6646010,107.55,0,1,5,0.752331098,310143.2,46666,66.4
2016,Texas,1721726,27914410,61.68,0,1,9,0.322414122,1619954.2,58033,84.7
2016,Utah,294907,3041868,96.95,0,1,0,0,147962.3,48642,90.6
2016,Vermont,39417,623657,63.2,1,1,0,0,29408.1,47154,38.9
2016,Virginia,528369,8410106,62.83,1,1,7,0.832331959,459965.8,54692,75.5
2016,Washington,713996,7294771,97.88,1,1,3,0.411253486,458263.8,62821,84.1
2016,West Virginia,242350,1831023,132.36,0,1,0,0,70011.4,38236,48.7
2016,Wisconsin,561819,5772628,97.32,0,1,0,0,291920.3,50570,70.2
2016,Wyoming,63594,584215,108.85,0,1,0,0,38188.7,65368,64.8
2015,Alabama,737509,4852347,151.99,0,1,2,0.412171677,191335.2,39431,59
2015,Alaska,85621,737498,116.1,0,1,0,0,54740.8,74225,66
2015,Arizona,331442,6829676,48.53,0,1,4,0.585679321,282577,41375,89.8
2015,Arkansas,257346,2978048,86.41,0,1,0,0,112351,37726,56.2
2015,California,1761079,38918045,45.25,1,1,1,0.025695021,2357452.9,60575,95
2015,Colorado,454062,5450623,83.3,1,1,2,0.366930533,312409.7,57316,86.2
2015,Connecticut,307750,3587122,85.79,1,1,0,0,242706.5,67661,88
2015,Delaware,50416,941252,53.56,1,1,0,0,66793.5,70962,83.3
2015,District of Columbia,742,675400,1.1,1,1,0,0,116808.4,172947,100
2015,Florida,1147082,20209042,56.76,1,1,6,0.296896805,852242.4,42171,91.2
2015,Georgia,566946,10178447,55.7,0,1,8,0.78597452,489182.3,48061,75.1
2015,Hawaii,15290,1422052,10.75,1,1,0,0,75869.5,53352,91.9
2015,Idaho,136946,1651059,82.94,0,1,1,0.605671875,63081.2,38207,70.6
2015,Illinois,1247398,12858913,97.01,1,1,2,0.155534142,751754.9,58462,88.5
2015,Indiana,1076917,6608422,162.96,0,1,1,0.151322055,313751.2,47477,72.4
2015,Iowa,147309,3120960,47.2,1,1,0,0,171126.5,54831,64
2015,Kansas,185859,2909011,63.89,0,1,0,0,148810.5,51155,74.2
2015,Kentucky,3218371,4425976,727.16,0,1,0,0,182916,41328,58.4
2015,Louisiana,372613,4664628,79.88,0,1,1,0.214379367,233016,49954,73.2
2015,Maine,94744,1328262,71.33,1,1,1,0.752863516,54425.8,40975,38.7
2015,Maryland,125694,5985562,21,1,1,0,0,348151.8,58165,87.2
2015,Massachusetts,167285,6794228,24.62,1,1,0,0,468060.9,68891,92
2015,Michigan,500921,9931715,50.44,1,1,0,0,443831.2,44688,74.6
2015,Minnesota,519244,5482032,94.72,1,1,2,0.364828224,318913.2,58174,73.3
2015,Mississippi,252372,2988471,84.45,0,1,1,0.334619275,100482.4,33623,49.4
2015,Missouri,584875,6071732,96.33,0,1,1,0.164697651,279020.8,45954,70.4
2015,Montana,127705,1030475,123.93,0,1,1,0.97042626,45395.7,44053,55.9
2015,Nebraska,79340,1891277,41.95,0,1,2,1.057486555,111401.5,58903,73.1
2015,Nevada,127480,2866939,44.47,1,1,0,0,136347.4,47559,94.2
2015,New Hampshire,136816,1336350,102.38,1,1,0,0,72042.4,53910,60.3
2015,New Jersey,90034,8867949,10.15,1,1,1,0.112765646,529953.7,59761,94.7
2015,New Mexico,147912,2089291,70.8,1,1,1,0.478631268,89701.3,42934,77.4
2015,New York,346048,19654666,17.61,1,1,4,0.203514015,1373643,69889,87.9
2015,North Carolina,531876,10031646,53.02,0,1,5,0.498422692,475096.6,47360,66.1
2015,North Dakota,69429,754066,92.07,0,1,0,0,56542.4,74983,59.9
2015,Ohio,748502,11617527,64.43,1,1,3,0.258230517,578852.4,49826,77.9
2015,Oklahoma,359276,3909500,91.9,0,1,1,0.255787185,197071.9,50408,66.2
2015,Oregon,276126,4015792,68.76,1,1,1,0.249016881,189946.5,47300,81
2015,Pennsylvania,993429,12784826,77.7,1,1,1,0.078217725,682466.1,53381,78.7
2015,Rhode Island,22129,1056065,20.95,1,1,0,0,52819.1,50015,90.7
2015,South Carolina,326997,4891938,66.84,0,1,1,0.204417963,192019.9,39252,66.3
2015,South Dakota,100268,853988,117.41,0,1,1,1.170976641,45664.5,53472,56.7
2015,Tennessee,654192,6591170,99.25,0,1,3,0.455154396,304484.2,46196,66.4
2015,Texas,1574266,27470056,57.31,0,1,4,0.1456131,1605901.7,58460,84.7
2015,Utah,254814,2981835,85.46,0,1,0,0,141720.5,47528,90.6
2015,Vermont,34588,625216,55.32,1,1,0,0,29119,46574,38.9
2015,Virginia,462997,8361808,55.37,1,1,1,0.119591361,455162.4,54433,75.5
2015,Washington,502280,7163657,70.12,1,1,0,0,441952.1,61694,84.1
2015,West Virginia,249014,1842050,135.18,0,1,0,0,70663,38361,48.7
2015,Wisconsin,383280,5760940,66.53,1,1,2,0.347165567,289077,50179,70.2
2015,Wyoming,62339,585613,106.45,0,1,0,0,40418.2,69019,64.8
2014,Alabama,621305,4841799,128.32,0,1,0,0,189886.3,39218,59
2014,Alaska,87623,736283,119.01,0,1,0,0,54188.2,73597,66
2014,Arizona,310672,6730413,46.16,0,1,0,0,276948.9,41149,89.8
2014,Arkansas,234282,2967392,78.95,0,1,0,0,111734.5,37654,56.2
2014,California,1474616,38596972,38.21,1,1,3,0.077726305,2256054.7,58452,95
2014,Colorado,413284,5350101,77.25,1,1,0,0,298655.3,55822,86.2
2014,Connecticut,270297,3594524,75.2,1,1,0,0,235780.9,65594,88
2014,Delaware,42950,932487,46.06,1,1,0,0,64940.1,69642,83.3
2014,District of Columbia,512,662328,0.77,1,1,0,0,114553.6,172956,100
2014,Florida,1034546,19845911,52.13,1,1,1,0.050388213,817233.5,41179,91.2
2014,Georgia,484580,10067278,48.13,0,1,1,0.099331716,470009.7,46687,75.1
2014,Hawaii,15225,1414538,10.76,1,1,0,0,73512.4,51969,91.9
2014,Idaho,131742,1631112,80.77,0,1,0,0,62454,38289,70.6
2014,Illinois,1344096,12884493,104.32,1,1,0,0,741194,57526,88.5
2014,Indiana,647550,6593644,98.21,0,1,0,0,316783.1,48044,72.4
2014,Iowa,127022,3109350,40.85,1,1,0,0,166619.2,53587,64
2014,Kansas,172167,2900475,59.36,0,1,0,0,145344.1,50110,74.2
2014,Kentucky,2492184,4414349,564.56,0,1,0,0,181471.8,41110,58.4
2014,Louisiana,315357,4644013,67.91,0,1,1,0.215331008,235355.1,50679,73.2
2014,Maine,83085,1330513,62.45,1,1,0,0,54037.9,40614,38.7
2014,Maryland,142207,5957283,23.87,1,1,0,0,339604.6,57007,87.2
2014,Massachusetts,179344,6762596,26.52,1,1,0,0,451568.9,66774,92
2014,Michigan,424091,9929848,42.71,1,1,0,0,434313.2,43738,74.6
2014,Minnesota,481122,5451079,88.26,1,1,0,0,314091.3,57620,73.3
2014,Mississippi,214829,2990468,71.84,0,1,0,0,100283.6,33534,49.4
2014,Missouri,517063,6056202,85.38,0,1,0,0,276080.7,45586,70.4
2014,Montana,121836,1021869,119.23,0,1,0,0,43829.1,42891,55.9
2014,Nebraska,68568,1879321,36.49,0,1,0,0,107936.8,57434,73.1
2014,Nevada,116735,2817628,41.43,1,1,1,0.354908455,130897.4,46457,94.2
2014,New Hampshire,124677,1333341,93.51,1,1,0,0,70213.7,52660,60.3
2014,New Jersey,92320,8864525,10.41,1,1,0,0,522166.4,58905,94.7
2014,New Mexico,139780,2089568,66.89,1,1,1,0.478567819,88991.2,42588,77.4
2014,New York,365427,19651049,18.6,1,1,0,0,1353410.4,68872,87.9
2014,North Carolina,1182349,9932887,119.03,0,1,0,0,462253.1,46538,66.1
2014,North Dakota,70548,737401,95.67,0,1,0,0,57790,78370,59.9
2014,Ohio,596389,11602700,51.4,1,1,0,0,574177.9,49487,77.9
2014,Oklahoma,348495,3878187,89.86,0,1,0,0,189360,48827,66.2
2014,Oregon,243044,3963244,61.32,1,1,0,0,181220.6,45725,81
2014,Pennsylvania,899241,12788313,70.32,1,1,1,0.078196397,669643.1,52364,78.7
